epoch,time_completed,log_loss,accuracy,auc,precision,recall,f1
1,2019-03-25 14:59:40,0.6511594758051612,0.7902621722846442,0.8324058726024153,0.7825299700299699,0.7678782855789723,0.7733171619163128
2,2019-03-25 14:59:40,0.6172833449385139,0.7902621722846442,0.8388882311153208,0.7825299700299699,0.7678782855789723,0.7733171619163128
3,2019-03-25 14:59:40,0.5888266745354799,0.7902621722846442,0.8383554345252191,0.7825299700299699,0.7678782855789723,0.7733171619163128
4,2019-03-25 14:59:40,0.5647803317295031,0.7902621722846442,0.8387106322519536,0.7825299700299699,0.7678782855789723,0.7733171619163128
5,2019-03-25 14:59:40,0.5459789942936057,0.7902621722846442,0.8387106322519536,0.7825299700299699,0.7678782855789723,0.7733171619163128
6,2019-03-25 14:59:40,0.5306537531958091,0.7902621722846442,0.8387106322519536,0.7825299700299699,0.7678782855789723,0.7733171619163128
7,2019-03-25 14:59:40,0.5177629283081726,0.7902621722846442,0.8387106322519536,0.7825299700299699,0.7678782855789723,0.7733171619163128
8,2019-03-25 14:59:40,0.5068938028946351,0.7902621722846442,0.8387106322519536,0.7825299700299699,0.7678782855789723,0.7733171619163128
9,2019-03-25 14:59:40,0.49583680062704766,0.7902621722846442,0.8386514326308312,0.7825299700299699,0.7678782855789723,0.7733171619163128
10,2019-03-25 14:59:40,0.4933630638801203,0.7902621722846442,0.8368162443760361,0.8347117794486215,0.737183282026995,0.7501336898395722
11,2019-03-25 14:59:40,0.48727933655070904,0.7902621722846442,0.8364018470281791,0.7825299700299699,0.7678782855789723,0.7733171619163128
12,2019-03-25 14:59:40,0.4849625340338503,0.7902621722846442,0.8310442813165996,0.8347117794486215,0.737183282026995,0.7501336898395722
13,2019-03-25 14:59:40,0.4809713077902347,0.8202247191011236,0.829149893440682,0.8551028179741051,0.7760182334833057,0.7915690866510539
14,2019-03-25 14:59:40,0.4766067930040288,0.8239700374531835,0.8303338858631305,0.8628386699507389,0.7790670139711106,0.7952487395780646
15,2019-03-25 14:59:40,0.472997187228685,0.8389513108614233,0.830689083589865,0.8634615384615385,0.8020956665877339,0.8172542777556706
16,2019-03-25 14:59:40,0.47001437865169754,0.797752808988764,0.8304522851053754,0.7921348314606742,0.7739758465545821,0.7804276315789473
17,2019-03-25 14:59:40,0.4687726564063562,0.8389513108614233,0.8298010892730286,0.8634615384615385,0.8020956665877339,0.8172542777556706
18,2019-03-25 14:59:40,0.46636649743001557,0.7940074906367042,0.8289722945773147,0.7885982732351448,0.7691214776225432,0.7758460152946745
19,2019-03-25 14:59:40,0.4617924862698223,0.8389513108614233,0.8337674638882311,0.8634615384615385,0.8020956665877339,0.8172542777556706
20,2019-03-25 14:59:40,0.4617261451281858,0.8389513108614233,0.8337674638882311,0.8634615384615385,0.8020956665877339,0.8172542777556706
