epoch,time_completed,log_loss,accuracy,auc,precision,recall,f1
1,2019-03-25 16:42:54,0.7216361754587834,0.7378277153558053,0.798632488752072,0.8052018130800778,0.6674165285342174,0.6672008547008548
2,2019-03-25 16:42:54,0.49426597881406437,0.7640449438202247,0.8198555529244613,0.7637779002480023,0.7266753492777647,0.7352899520025178
3,2019-03-25 16:42:54,0.5059111327044526,0.7865168539325843,0.8284394979872128,0.8455724508050089,0.7287177362064883,0.7409311430760065
4,2019-03-25 16:42:54,0.5380543081947927,0.7528089887640449,0.8498993606440918,0.8340168357435787,0.6832228273739048,0.6862179487179487
5,2019-03-25 16:42:54,0.5946581287776933,0.7340823970037453,0.8411674165285342,0.7363044454422991,0.7492304049254085,0.731125452095596
6,2019-03-25 16:42:54,0.6014797120505058,0.7902621722846442,0.8298602888941511,0.8001341618415478,0.7516279895808666,0.7626968004062976
7,2019-03-25 16:42:54,0.6102975686167956,0.6591760299625468,0.8484193701160312,0.786420101637493,0.5600580156287,0.5019984012789769
8,2019-03-25 16:42:54,0.612219864286287,0.6891385767790262,0.8159483779303813,0.7142070484581498,0.6151432630831162,0.60365210237333
9,2019-03-25 16:42:54,0.5915722771083818,0.7640449438202247,0.8282026995027231,0.8503174603174604,0.6959803457257874,0.7017817569364417
10,2019-03-25 16:42:54,0.6169718938150656,0.8426966292134831,0.8305706843476202,0.8408778721278721,0.8232003315178783,0.8299878714372346
11,2019-03-25 16:42:54,0.5983101154088081,0.6217228464419475,0.8403386218328203,0.8094339622641509,0.5097087378640777,0.4013320013320013
12,2019-03-25 16:42:54,0.6613078775923796,0.48314606741573035,0.8249171205304285,0.5843023255813954,0.5557956429078854,0.46357442348008393
13,2019-03-25 16:42:54,0.600943043772201,0.6179775280898876,0.8267227089746624,0.8082706766917294,0.5048543689320388,0.3910107334525939
14,2019-03-25 16:42:54,0.6492141508654262,0.6292134831460674,0.8414338148235851,0.6842532467532467,0.6746980819322757,0.6284629981024668
15,2019-03-25 16:42:54,0.5766484669308537,0.6629213483146067,0.8223715368221641,0.7651764705882353,0.5667179730049727,0.5163043478260869
16,2019-03-25 16:42:54,0.6048316218879786,0.6217228464419475,0.8408418186123608,0.8094339622641509,0.5097087378640777,0.4013320013320013
17,2019-03-25 16:42:54,0.6206194299660371,0.7602996254681648,0.8432986028889415,0.7540563380281691,0.7669606914515747,0.7550739594083247
18,2019-03-25 16:42:54,0.5939610873380404,0.6292134831460674,0.8356322519535875,0.811787072243346,0.5194174757281553,0.4214581190220841
19,2019-03-25 16:42:54,0.6207370297069407,0.7340823970037453,0.8180795642907885,0.7328282828282828,0.7456192280369405,0.7302070732227994
20,2019-03-25 16:42:55,0.5750503522179993,0.8352059925093633,0.8219867392848685,0.8362068965517242,0.8116860052095667,0.8202570379436964
